title,question,answer,tag
Rekomendasi cream yang cocok untuk kulit berminyak dan berjerawat,"hi dokter, mau nanya, soal kecantikan. saya wanita usia 23 tahun ada problem di kulit berminyak dan berjerawat. minyak dan jerawatnya muncul di t-zone dok. saya udah ganti-ganti cream tapi gak ketemu jg yang cocok. mohon saran rekomendasi cream yang cocok untuk kulit berminyak dan berjerawat dong dokter. makasih","hari Dan sore setelah selesai beraktivitas. Jangan terlalu sering membersihkan kulit agar lapisan pelindung kulit alamiah tidak terkikis Dan rusak; namun bila memang kulit kotor atau terpapar zat berbahaya, Anda perlu segera membersihkannya. Pilih produk pembersih yang sesuai tipe dan kondisi kulit Anda. Gunakan toner dan moisturizer pada kulit yang sudah dibersihkan. Kenakan tabir surya SPF 30+ sekitar 20 menit sebelum kulit terpapar matahari. Pilih tabir surya yang sesuai tipe dan kondisi kulit serta aktivitas yang Akan dilakukan; misalnya bila akan berenang Anda perlu memilih tabir surya yang tahan air. Lakukan eksfoliasi yang sesuai dengan tipe kulit, dengan menggunakan eksfoliant yang juga sesuai tipe kulit. Alternatifnya Anda dapat menggunakan skincare yang mengandung retinol, namun perlu diingat bahwa zat ini dapat menyebabkan purging bagi kulit yang tidak terbiasa. Terapkan pola hidup sehat dengan konsumsi makanan sehat bergizi seimbang Dan bervariasi dalam jumlah cukup, istirahat berkualitas baik 7-9 jam semalam, olahraga intensitas sedang selama 150 menit seminggu, mengelola stress emosional dengan baik, menghindari asap rokok, tidak mengonsumsi alkohol serta narkoba. Demikianlah penjelasan saya, semoga bermanfaat. Salam sehat selalum",jerawat perawatan-kulit
Obat yang tepat untuk mengatasi mata berair,"mata saya suka berair dok, terus rasanya kering, perih serrta panas. sampe saya itu pengennya merem aja dok, dan ini tu tiba-tiba dokter, saya bangun tidur udah ngerasa kaya gini. apakah ada solusi obat untuk mengatasi mata berair saya dok? btw saya matanya minus tp aman udah pake kacamata dok, ini cuma berair aja,","untuk Alodokter. dapat terjadi karena disebabkan oleh beberapa kemungkinan penyebab yaitu seperti alergi, infeksi, pertumbuhan bulu mata yang masuk ke dalam, mata kering, penyakit autoimun, gangguan sistem saraf, efek samping obat, iritasi mata, gangguan pada kelopak mata, atau karena adanya penyumbatan pada saluran air mata. Gejala mata berair yang terjadi setelah bangun tidur bisa saja disebabkan oleh mata kering atau alergi yang dapat terjadi karena paparan debu, cuaca dingin, ataupun mata yang tidak menutup sempurna ketika tertidur, dengan pemberian obat tetes mata yang mengandung artificial tears atau mengandung obat antihistamin. Penanganan utama tentunya perlu disesuaikan dengan diagnosis penyebab keluhan yang hanya dapat diketahui melalui pemeriksaan secara langsung oleh dokter, sehingga nantinya dapat ditentukan penanganan yang tepat kedepannya. Oleh karena masih terdapat banyaknya kemungkinan penyebab pada keluhan anda, maka akan lebih aman untuk anda memeriksakan diri ke secara lebih lanjut.Demikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.",mata-kering sakit-mata
Solusi mengatasi keputihan kuning dan berbau amis,"hallo dokter, dok saya wanita 28 th. saya ada masalah soal keputihan. jadi keputihan saya ini mempunyai warna kuning dan baunya amis. kuningnya itu kaya tahu yang hancur. saya udah cebok pake rebusan daun sirih. namun ini gak hilang. kira kira itu kenapa ya dok? apakah ada obat nya di apotik dok? bagaimana cara mengatasinya?","keputihan merupakan suatu kondisi keluarnya cairan di vagina yang dimana keputihan ini dapat dikatakan normal dan abnormal. keputihan normal biasanya muncul saat menjelang menstruasi sata ovulasi, adanya rangasangan seksual, saat hamil. keputihan normal ditandai dengan warna putih atau bening tidak berbau dan tidak menimbulkan keluhan. sedangkan abnormal ditandai keputihan yang berubah warna, berbau serta mengalami keluhan seperti gatal dan nyeri dan biasanya disebabkan oleh infeksi baik akibat bakteri, jamur maupun parasit. keputihan berwarna kuning seperti tahu hancur dan disertai bau amis kondisi ini bisa disebabkan infeksi bakteri vaginosis yang dapat diatasi dengan antibiotik. namun untuk memastikan penyebabnya anda bisa menemui secara langsung agar dilakukan pemeriksaan dan penanganan yang tepat atau anda bisa pula melakukan konsultasi dengan dokter via chat aplikasi di alodokter untuk mendapatkan resep obat. sedangkan untuk cebok dengan daun siri tidak bisa mengatasi keluhan keputihan yang anda alami, saran saya cuci atau cebok dengan air bersih saja dengan cara basuh dari vagina ke anus, serta rajin mengganti celana dalam terutama saat keadaan basah dan lembab konsumsi probiotik seperti yogurt juga bagus. semoga dapat membantu",keputihan
Cara untuk mengobati gatal-gatal pada kulit secara alami,"abang saya belakangan ini sering banget mengalami kulitnya gatal dok. gatalnya berpindah gak cuma di satu bagian tubuh aja.. abang saya gamau ketergantungan obat nih dok, apa ada dok cara mengobati gatal-gatal secara alami ya dok?","berpindah di beragam bagian tubuh bisa dipicu oleh banyak faktor, seperti alergi, biang keringat, digigit ulat atau serangga, eksim, xerosis, gangguan cemas, pengaruh obat, gangguan hormon, skabies, panu, urtikaria kolinergik, dan lain sebagainya. Penanganan atas keluhan seperti ini tentu berbeda-beda, tergantung dari penyebabnya. Tidak selalu abang Anda harus langsung meminum obat. Saran kami, kondisi abang Anda diatasilah dulu dengan: Mandilah yang rajin dan bersih menggunakan sabun yang formulanya ringan dan mengandung pelembab Oleskan lotion calamine pada kulit yang gatal Jangan berlebihan menggaruk kulit yang gatal Kenakan pakaian yang longgar dan lembut bahannya Jangan sembarangan bertukar barang pribadi dengan orang lain Jauhi hal-hal yang sekiranya membuat Anda alergi Banyak meminum air putih, makan buah kaya antioksidan, dan buat diri Anda rileks Perbaiki kebersihan dan sirkulasi di tempat Anda beraktifitas Istirahat cukup dan terapkan gaya hidup sehat Jika keluhan abang Anda tetap tidak membaik, Anda bisa mengarahkan beliau untuk berkonsultasi dengan dokter kami di aplikasi atau periksalah langsung ke terdekat ya.. Semoga membantu.",kulit gatal
Cara mengobati dada yang terasa mengganjal,"alodokter, dok saya ingin bertanya, saat ini saya sedang mengalami gejala dengan dada yang rasanya mengganjal trs terasa nyeri juga, perut kadang terasa penuh,, itu kenapa ya dok? dan cara obatinya seperti apa? terimakasih","Sensasi nyeri, mengganjal, dan penuh di sekitar dada hingga ke perut paling sering muncul akibat suatu gangguan pencernaan, contohnya (GERD), , , gastroparesis, kanker lambung, tukak duodenum, alergi makanan, obstruksi usus, dan sebagainya. Bukan itu saja, keluhan-keluhan yang Anda rasakan bisa pula timbul karena beragam pencetus lainnya, misalnya penyakit jantung koroner, obesitas, pleuritis, efusi pleura, bronkhitis, hepatitis, gagal jantung kongestif, gangguan cemas berlebih, dan sebagianya. Guna meringankan keluhan Anda, yang bisa dilakukan yakni: Usahakan makan teratur, porsi kecil-kecil tapi sering Tidak dulu berlebihan mengkonsumsi makanan berkadar gas dan serat tinggi, makanan yang terlalu pedas dan masam, minuman berkafein, dan dairy product Sehabis makan, biasakan tidak langsung berbaring Minum cukup air putih Kompres hangat dada dan perut yang tidak nyaman Jangan gunakan pakaian terlalu ketat Cegah perut buncit dan kegemukan dengan giat berolahraga Buat pikiran rileks, jangan terlalu cemas atau stres Tidur lebih awal dan lebih teratur Namun, jika keluhan terasa memberat, apalagi muncul sesak, muntah, jantung berdebar, dan tanda bahaya lainnya, segeralah Anda memeriksakan diri ke guna mendapat penanganan lebih optimal ya.. Pada beberapa kasus, pemeriksaan penunjang seperti rontgen, USG, endoskopi, dan sebagainya bisa juga dilakukan bila dianggap perlu. Semoga membantu.",asam-lambung sakit-maag
Apa manfaat konsumsi kulit udang bagi kesehatan?,"kalau makan seafood, terutama udang boleh gak dok sekalian dimakan sama kulit udangnya? dan manfaat buat kesehatan ada gak sih dokter?","adalah bahan pangan yang sarat akan nutrisi, di antaranya protein, asam lemak omega 3, natrium, zat besi, fosfor, kalium, zinc, magnesium, antioksidan (seperti astaxanthin), dan sebagainya. Dengan kandungan nutrisinya tersebut, udang jelas berguna bagi kesehatan, di antaranya untuk: Menguatkan daya tahan tubuh Menyehatkan jantung dan otak Meredakan peradangan Menguatkan daya ingat dan konsentrasi Mencegah infeksi Mencegah anemia Mengoptimalkan perkembangan janin, dan sebagainya Beragam manfaat di atas bisa Anda peroleh bukan hanya dengan mengkonsumsi daging udang, melainkan juga kulitnya. Jadi, memang kulit udang bisa juga Anda konsumsi tanpa perlu Anda buang. Meski begitu, perlu dipahami, bahwa kandungan nutrisi dalam udang tersebut bisa rusak, misalnya karena cara memasaknya yang kurang tepat. Selain itu, agar nutrisinya terjaga, pastikan Anda mengkonsumsi udang yang masih segar dan tidak terkontaminasi zat berbahaya (seperti merkuri, formalin). Tidak lupa, pastikan Anda tidak mengalami gejala alergi jika ingin mengkonsumsi udang ya.. Semoga membantu.",nutrisi
Apakah sebenarnya penyebab dari fistula ani?,"â dok sebenarnya apasih penyebab orang bisa mengalami fistula ani? jadi di anus saya muncul benjolan yg berisi nanah yg hilang timbul dok. saya memang belum periksa ke dokter, tapi kalo saya baca ini mirip dengan gejala fistula ani dok. tolong jawab ya pertanyaan saya dok. terimakasih atas tersedianya alodokter ini mdh2n menjadi amal kebaikan bagi para dokter yang bersedia menanggapi pertanyaan ini.","Jika Anda mengeluhkan adanya benjolan bernanah di anus, maka lebih mungkin penyebabnya adalah , bukan . Abses anus sendiri merupakan suatu benjolan bernanah yang timbul akibat adanya infeksi, terutama oleh bakteri. Abses anus tidak hanya bisa menyebabkan benjolan bernanah, namun juga bisa membuat kulit sekitar anus membengkak, kemerahan, gatal, nyeri, berbau tidak sedap, hingga memicu demam dan beragam gejala sistemik lainnya. Abses anus yang tidak segera ditangani bisa memicu munculnya fistula, yakni suatu lorong abnormal yang menghubungkan abses tersebut ke kulit bagian luar. Nah, dari fistula inilah kerap kali nanah akan keluar. Selain infeksi, abses anus dan fistula bisa juga muncul karena riwayat cidera atau operasi di sekitar anus juga riwayat menderita radang usus. Bukan hanya abses dan fistula ani, benjolan bernanah di anus Anda bisa juga muncul karena infeksi sekunder pada tumor jinak atau ganas di anus. Jika ingin memastikan hal ini, sepatutnya Anda pergi memeriksakan diri langsung ke terdekat. Sembari itu, Anda bisa berkonsultasi dulu dengan dokter kami di aplikasi dan lakukan juga: Jaga anus Anda agar selalu bersih Bersihkan area yang bernanah setiap hari dengan kain kassa steril dan cairan infus NaCl Hindari penekanan berlebih di sekitar bokong Anda Ganti pakaian dalam Anda sering-sering Hindari penggunaan celana yang terlalu ketat Tingkatkan daya tahan tubuh dengan cukup istirahat, terapkan diet seimbang, dan gaya hidup sehat Semoga membantu ya..",fistula-ani
Tulang pergelangan tangan bergeser apakah bisa sembuh sendiri?,"saya jatuh dan tangan kanan di pake buat tumpuan, trs sakit dok, nyeri, bengkak dan memar serta bentuknya terlihat jelas, kesemutan juga di jari2nya. saya bawa ke dokter di rs dan dilakukan pemeriksaan hasilnya tulang pergelangan tangan saya bergeser / dislokasi. apakah dislokasi ini bisa sembuh sendirinya dokter?","Tulang tangan kanan yang terbentur memang bisa mengalami pergeseran () dari tempat yang semestinya. Secara klinis, dislokasi tulang ini bisa membuat area sekitar terasa nyeri, bengkak, memar, kesemutan, hangat, dan sulit untuk digerakkan. Kondisi seperti ini tidak boleh dibiarkan begitu saja. Agar diberi arahan penanganan yang tepat, Anda perlu berkonsultasi langsung dengan . Nantinya, kondisi Anda bisa diatasi dengan beberapa cara, seperti pemberian obat-obatan, reduksi dan imobilisasi, operasi, dan juga fisioterapi. Pemilihan tatalaksana yang tepat perlu dilakukan dengan mempertimbangkan beragam aspek, termasuk keparahannya, status kesehatan Anda secara umum, dan fasilitas yang tersedia. Asal ditangani dengan tepat, dislokasi tulang pergelangan tangan umumnya akan sembuh dalam 1 hingga 6 bulan. Sebelum benar-benar sembuh, sebaiknya Anda lakukanlah dulu: Istirahatkan tangan Anda dari aktifitas fisik yang berlebihan Kompres es batu area tangan yang terasa nyeri dan bengkak Tidak sembarangan mengurut tangan yang cidera Redakan nyeri dengan meminum obat paracetamol sebelum periksa ke dokter Semoga membantu ya..",dislokasi
Bolehkah asam mefenamat diminum bersama paracetamol?,"dokter, saya sakit gigi, tadi udah minum asam mefenamat tapi gak sembuh2 juga. kalau saya minumin paracetamol apakah boleh dok? saya tadi minum obatnya baru 30 menit.dan bolehkah asam mefenamat diminum bersama parasetamol? trima kasih","Paracetamol ialah obat analgesik antipiretik yang dapat mengatasi demam dan meredakan nyeri, sedangkan asam mefenamat merupakan obat untuk meredakan nyeri yang termasuk obat golongan antiinflamasi nonsteroid. Kedua obat ini dapat mengatasi nyeri dan jika dikonsumsi secara bersamaan tidak masalah karena merupakan obat golongan yang berbeda walau memiliki efek dapat mengatasi nyeri. Namun pada umumnya konsumsi asam mefenamat saja sudah dapat membantu mengatasi nyeri pada gigi. Namun obat antinyeri ini tidak bisa mengatasi penyebabnya, jika efek kerja sudah hilang maka nyeri akan terasa jadi anda perlu konsumsi obat ini kembali, asam mefenamat dapat anda konsumsi 3 kali dalam sehari setelah makan. Jika pengobatan mandiri tidak membantu sebaiknya anda temui atau melakukan konsultasi melalui chat via aplikasi alodokter untuk mendapatkan penanganan lebih lanjut. Jika karena infeksi maka perlunya antibiotik namun jika akibat gigi berlubang maka perlu ditangani lebih lanjut berupa penambalan hingga pencabutan gigi. Semoga dapat membantu",paracetamol asam-mefenamat
Apakah aman menggunakan sabun bayi batangan untuk cuci muka?,"halo dok,, saya mau tanya.. saya remaja berusia 17 tahun.. selama ini saya mencuci muka dengan sabun bayi batangan. saya udah coba beberapa produk sabun cuci muka yg biasa, tapi tidak cocok di wajah saya dok. apakah benar yg saya lakukan dok? apakah tidak apa2 sabun batangan digunakan untuk cuci muka?","Terima kasih atas pertanyaanya. Sabun bayi umumnya tidak mengandung bahan iritan dan alergen karena disesuaikan dengan kondisi kulit bayi yang sensitif. Sabun bayi juga umumnya terbuat dari bahan yang aman dan lembut agar tidak mengiritasi kulit bayi. Penggunaan sabun bayi pada orang dewasa sering dilakukan, penggunaannya dinilai aman dan boleh dilakukan asal pada pengaplikasiannya tidak menyebabkan masalah pada kulit misalnya menyebabkan iritasi. Beberapa manfaat yang diperoleh dari penggunaan sabun bayi tersebut dapat menghindari iritasi, dapat membantu menjaga kelembapan alami, baik digunakan pada kulit sensitif, memiliki bau yang tidak mengganggu dan sebagainya. Sehingga bila tidak ditemukan masalah atau efek samping dalam penggunaannya umumnya aman digunakan oleh orang dewasa karena reaksi pada kulit setiap orang dapat berbeda-beda. Namun bila terdapat kotoran pada kulit menumpuk misalnya setelah penggunaan make up tertentu, penggunaan sabun bayi saja tidak bisa membersihkan sisa-sisa kotoran. Selain itu juga untuk merawat kulit sebaiknya makan-makanan bergizi, konsumsi air putih cukup, hindari stres, menjaga kebersihan kulit, dan sebagainya. Terima kasih, semoga membantu.",wajah perawatan-kulit
Penyebab kotoran hidung yang berdarah saat dibersihkan,"â selamat siang dok saya mau tanya, saya merasa hidung saya penuh banget sama kotoran dan berkerak, ketika saya coba korek dan ternyata kotoran hidung yg keluar itu berdarah dok.. kok bisa sih dok? padahal saya gak rasain gejala apa\ dok","untuk Alodokter.Bulu dan cairan hidung berfungsi untuk menyaring debu dan kotoran yang dihirup oleh manusia, dimana perlu sering dibersihkan sebelum kotoran hidung menumpuk kemudian dapat mengering dan mengeras. Jika kotoran hidung sudah mengering dan mengeras, maka nantinya kotoran hidung tersebut akan sulit dikeluarkan dan menggesek pembuluh darah di sekitar hidung dan menyebabkan perdarahan sedikit pada hidung. Selain itu, anda juga perlu melembabkan area hidung dengan menghirup uap hangat, menggunakan alat humidifier atau pelembab ruangan, atau melakukan dengan menyemprotkan salah satu hidung dengan spuit dan cairan infus NaCl untuk membersihkan hidung dengan tepat dan perlahan., serta cukupi asupan air putih minimal 2 liter per hari untuk mencegah kondisi hidung yang menjadi kering dan sulit dibersihkan. Jika nantinya keluhan anda tidak kunjung membaik dengan cara tersebut, maka sebaiknya periksakan diri anda ke dokter secara lebih lanjut agar dapat dilakukan pemeriksaan dan penanganan lebih lanjut.Demikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.",cedera
Wanita mencintai wanita disebut apa?,"temen saya agak lain dok, jadi dia punya kelainan dalam seks. dia gak terlalu tertarik sama cowo. dia sukanya sama sejenis, cewe jg. dan penampilan dia itu tomboy. itu disebutnya apa dokter?","Yang dialami oleh teman anda merupakan homoseksual yaitu istilah untuk mendeskripsikan identitas seksual seseorang yang tertarik secara personal, emosional dan seksual kepada orang lain yang berjenis kelamin sama dengannya, kalau seorang wanita disebut dengan lesbian. Homoseksual bukanlah suatu gangguan mental atau kejiwaan, melainkan orientasi seksual yang ditandai ketertarikan dengan sesama jenis, Hingga saat ini, faktor penyebab seseorang menjadi homoseksual pun masih menjadi pertanyaan besar yang belum jelas jawabnnya, namun dari beberapa penelitihan ada beberapa hal yang diduga berpengaruh dalam menentukan seseorang menjadi homoseksual seperti : Faktor genetik Variasi bentuk otak Trauma masih kecil Namun tentu faktor tersebut belum bisa menjadi jawaban pasti masih perlu penelitihan lebih lanjut. Untuk lebih lanjut mengetahui atau mengenal diri anda bisa konsultasi dengan psikolog lebih lanjut, atau teman anda juga bisa konsultasi ke untuk mencari tahu penyebab untuk kondisi teman anda. Semoga dapat membantu",intim-wanita
Apa saja manfaat puasa bagi ibu hamil muda?,"selamat siang , jadi gini dok. saya kondisi saat ini sedang hamil muda (7 minggu) ini kehamilan pertama untuk saya dok. saya mau ikut puasa ramadhan nih dok tp saya sedang hamil, apakah tidak apa2 dok untuk janin dan saya nanti? dan apa manfaatnya puasa bagi bumil yang hamil muda ini dok?","tidaklah dilarang mutlak asalkan sudah dipastikan bahwa kondisi Anda maupun janin dalam kandungan Anda baik. Dengan berpuasa, batin yang tenang bisa membuat beragam keluhan yang kerap mengganggu di awal kehamilan bisa jauh mereda. Berpuasa juga bisa membantu memperbaiki metabolisme tubuh, menjaga berat badan Anda agar ideal, memperbaiki konsentrasi dan mood, menurunkan risiko diabetes gestasional, dan banyak lagi manfaat lainnya. Namun, yang kerap dikhawatirkan dari puasa saat hamil muda ialah risiko ibu mengalami kekurangan cairan dan nutrisi, sehingga bisa menghambat perkembangan janin dalam kandungan sekaligus juga memicu beragam keluhan pada sang ibu sendiri, misalnya pusing, lemas, mual, muntah, pingsan, kebingungan mental, dan sebagainya. Keluhan ini bisa semakin hebat jika Anda mengalami mual, muntah, hilang nafsu makan, dan beragam gejala awal kehamilan yang berat. Pertanyaan kami, adalah keluhan yang Anda alami selama kehamilan ini? Bagaimana kesehatan janin yang Anda kandung menurut dokter? Adakah riwayat penyakit tertentu yang Anda derita? Berapa persisnya berat dan tinggi badan Anda, serta prakiraan berat janin dalam kandungan Anda? Mengingat minimnya informasi yang Anda berikan, sulit untuk kami bisa menentukan aman atau tidaknya Anda menjalani ibadah puasa. Saran kami, sebelum memutuskan untuk menjalani atau meninggalkan ibadah puasa, Anda periksakanlah dulu diri Anda ke terdekat atau berkonsultasilah dengan dokter kami di aplikasi . Berikut beberapa saran dari kami terkait puasa saat hamil muda: Hanya berpuasa jika dinyatakan aman oleh dokter Anda Makan buka dan sahurlah dengan makanan yang mengandung gizi seimbang Jangan lupa minum yang cukup, setidaknya 2 liter sehari Perbanyak istirahat dan hindari melakukan aktifitas fisik terlalu berat Tetap rutin mengkonsumsi suplemen prenatal dan menjalani kontrol kehamilan sebagaimana arahan dokter Semoga membantu ya..",kehamilan puasa
Benarkah singkong mentah untuk asam lambung?,dok nenek saya pernah bilang kalau makan singkong mentah bisa untuk mengobati asam lambung. menurut dokter apakah benar itu dokter?,"adalah umbi-umbian yang mengandung kaya zat pati dan beragam nutrisi lainnya, seperti karbohidrat, serat, vitamin C, copper, thiamine, asam folat, vitamin B6, kalium, lemak, protein, dan sebagainya. Dengan kandungan nutrisi di dalamnya, singkong bisa menghasilkan beragam manfaat bagi kesehatan, seperti melancarkan pencernaan, menjaga keseimbangan flora normal di usus, meredakan peradangan, mencegah kegemukan, menekan nafsu makan, mengontrol kadar gula darah, menjaga elastisitas kulit, menguatkan tulang dan otot, serta banyak lagi kegunaan lainnya. Meski banyak manfaatnya, singkong tidak disarankan dikonsumsi dalam kondisi mentah, apalagi dalam jumlah banyak. Sebab, singkong mentah mengandung zat kimia bernama glikosida sianogenik, yang jika dikonsumsi, bisa melepaskan sianida ke dalam tubuh. Sebagaimana diketahui, keracunan sianida berisiko memicu beragam efek samping, seperti nyeri kepala, lemas, pusing, kebingungan mental, mual, jantung berdebar, koma, bahkan kematian. Dan lagi, singkong mentah akan sulit dicerna oleh tubuh, sehingga malah rentan menyebabkan perburukan masalah asam lambung. Baiknya, jika ingin mendapatkan manfaatnya, Anda konsumsilah singkong dengan cara yang benar, yakni dengan dikupas, dicuci bersih, dan diolah menjadi beragam bahan pangan, contohnya singkong rebus, keripik singkong, timus, kolak singkong, singkong thailand, dan sebaainya. Semoga membantu ya..",asam-lambung
Penyebab gigi terasa gatal setelah melakukan cabut gigi,"â numpang tanya dokter alo... anak saya usia 15 tahun, 2 hari lalu habis cabut gigi kata dokternya anakku mengalami infeksi gigi dan diberi antibiotik clindamicyn tapi kenapa ya setelah itu muncul rasa gatal di sekitar giginya? makasih sebelumnya dok","Terima kasih atas pertanyaannya. Pencabutan gigi merupakan suatu tindakan yang dilakukan oleh dokter gigi misalnya untuk mengatasi infeksi, mengatasi masalah gigi lain yang tidak bisa dilakukan dengan tindakan lain misalnya dengan penambalan dan sebagainya. Setelah melakukan cabut gigi dapat menimbulkan efek samping seperti nyeri. Selain nyeri keluhan yang dapat muncul setelah cabut gigi yaitu dapat dirasakan gatal pada sekitar gigi. Gatal sendiri dapat disebabkan karena setelah gigi dicabut, bekas luka pencabutan tersebut kemudian akan membentuk gumpalan darah yang digunakan untuk menyetop perdarahan. Bila gumpalan darah tersebut mengering, maka kemudian dapat menyebabkan keluhan gatal. Untuk sementara, sebaiknya banyak minum air putih, kemudian mengonsumsi makanan yang lunak, tidak mengonsumsi makanan pedas, keras, atau terlalu asam dan manis, Kemudian dapat mengompres dingin pada pipi untuk mengurangi gatal. Bila keluhan berlanjut, sebaiknya dapat memeriksakan kembali ke dokter gigi. Terima kasih, semoga membantu.",gigi
Apakah ada pengganti alkohol untuk luka di kulit?,"anak saya terjatuh saat latihan sepeda nih dokter, sedangkan di rumah tidak ada alkohol untuk membersihkan luka. luka goresnya lumayan dalem dok sampe kulit putihnya terlihat. apa ada pengganti alkohol untuk luka anak saya dok? trs perawatannya seperti apa?","luka gores merupakan jenis luka terbuka yang umum dan sering dialami baik anak-anak maupun orang dewasa. luka gores atau laserasi ialah luka yang terjadi saat kulit atau jaringan di bawahnya robek atau terbuka. luka gores dapat dilakukan penanganan dirumah ada beberapa tips yang bisa dilakukan seperti : bersihkan luka dengan air mengalir pastikan tidak ada benda asing yang masih tertinggal bila terjadinya pendarahan tekan dengan kain bersih selama 10 menit secara lembut untuk membersihkan luka bisa dengan menggunakan cairan larutan nacl yang dapat bunda beli di apotik. tidak dianjurkan menggunakan alkohol bunda karena menyebabkan nyeri dan jaringan kulit sehat dapat rusak bisa diberikan salep antiseptik namun keringkan dulu luka dengan kassa steril dapat perban luka jika luka cukup besar untuk mencegah paparan benda asing dan gesekan lakukan perawatan luka dua kali sehari selalu cuci tangan dengan sabun sebelum dan sesudah konsumsi obat anti nyeri seperti paracetamol 3-4 kali sehari jika terdapat tanda-tanda infeksi seperti luka semakin nyeri, bengkak, merah, bernanah, serta demam sebaiknya untuk menemui secara langsung untuk mendapatkan penanganan yang tepat. semoga dapat membantu",alkohol cedera
Penyebab warna kulit di bokong menjadi lebih hitam,"dokter, minta sarannya dong dokter. saya mau tanya. penyebab selangkangan hingga pantat hitam apa ya dok? padahal saya orangnya bersih dan kulit tubuh saya putih dok. apakah ada obatnya dok? thanks.","Selangkangan hitam dan bokong hitam dapat menganggu penampilan sehingga menurunkan rasa percaya diri. Penyebab selangkangan dan bokong hitam ini beragam hal diantaranya : Perubahan hormon dimana perubahan hormon ini memicu pembentukan melanin yang berlebih Gesekan pakain dengan kulit yang dapat memicu peningkatkan produksi melanin Obesitas yang dimana menyebabkan lipatan kulit lebih mudah mengalami gesekan dengan pakain Efek samping obat tertentu Paparan sinar matahari saat menggunakan bikini pada wanita Penanganan selangakangan dan bokong yang menghitam yang bisa dilakukan secara mandiri ada beberapa hal seperti : Tidak menggunakan pakain dalam yang ketat Menggunakan scrub atau lulur saat mandi Gunakan pelembab pencerah yang dijual bebas dan sudah berbpom Jika berenang menggunakan bikini pada wanita gunakan tabir surya Turunkan berat badan jika berlebih Jika penanganan mandiri tidak kunjung membantu, untuk hasil yang lebih cepat anda bisa konsultasi dengan dokter kulit secara langsung untuk mendapatkan penanganan lebih lanjut dapat berupa obat hingga treatment seperti laser. Semoga dapat membantu",hiperpigmentasi
Obat panu tablet paling ampuh dan cepat hilang,"dipunggung saya muncul panu, dulu saya kasih obat panu salep tiap malam tapi malah hasilnya gosong, mengelupas dan putih lagi. dokter, kira-kira obat panu tablet paling ampuh dan cepat hilang merk apa dokter?","(tinea versicolor) adalah penyakit kulit yang disebabkan oleh jamur golongan Malassezia. Penyakit ini ditandai dengan munculnya bercak kulit keputihan atau kecokelatan yang terasa gatal, datar, kering, bersisik, mengelupas, dan bisa terus meluas jika tidak segera ditangani. Penanganan atas kondisi ini utamanya dilakukan dengan pemberian obat anti jamur (bisa dalam bentuk krim atau lotion, shampo, atau tablet minum) dan beberapa obat lain disesuaikan dengan gejala yang muncul. Di samping itu, agar lekas sembuh, penderita panu perlu juga melakukan penanganan mandiri seperti: Mandi dengan sabun minimal 2 kali sehari, lantas bilas dan keringkan hingga benar-benar kering sebelum berpakaian Sehabis mandi, taburkan bedak salisil ke area kulit yang gatal Gunakan pakaian yang longgar, bersih, dan bahannya menyerap keringat Jaga lingkungan tempat Anda beraktifitas agar sejuk, sehingga Anda tidak berkeringat berlebihan Tidak bertukar barang pribadi dengan orang lain Tidak sembarangan mengelupasi dan mengobati keluhan di kulit Terkait kondisi Anda, jika keluhan sudah pernah diobati namun belum juga sembuh, melainkan menjadi gosong, mengelupas, dan keputihan kembali, maka bisa jadi penyebabnya adalah: Keluhan Anda bukan disebabkan oleh panu, melainkan oleh kondisi lain yang serupa, misalnya pityriasis alba, dermatitis seboroik, eksim, psoriasis, hipopigmentasi pasca radang, vitiligo, atau lainnya Obat yang Anda berikan tidaklah tepat Anda alergi terhadap obat panu yang digunakan Saran kami, segeralah memeriksakan diri ke agar diarahkan penanganan terbaik atas kondisi Anda ya.. Semoga membantu.",infeksi-jamur panu
